title,description,category,difficulty,requiredSetting
Inbox Purge,"An unread count is a debt collected in dread.

1. Archive everything older than two weeks, unread or not.
2. Reply to exactly three messages. No more.
3. Close the tab afterward.",productivity/chores,medium,office/desk
The Twelve Tabs,"Each open tab is a decision you keep re-making.

1. Close every browser tab except the two you actually need.
2. Anything you're afraid to lose, paste into one note first.",productivity/chores,easy,office/desk
Desktop Exorcism,"Your screen is a room. Somebody lives there.

1. Make one folder named with today's date.
2. Sweep every loose desktop file into it.
3. Pull back out only what you'll touch this week.",productivity/chores,medium,office/desk
The Undone Thing,"You already know which one. It's been following you.

1. Name the task you've dodged longest.
2. Set a timer and do only its first ten minutes.
3. Stop when the timer does, finished or not.",productivity/chores,hard,home
Kill a Subscription,"Somewhere, a service is quietly billing you for nothing.

1. Open your card statement or app store subscriptions.
2. Cancel one thing you haven't used in a month.",productivity/chores,easy,mall
Two-Minute Rampage,"Small undone things weigh more than large ones. Unfair, but true.

1. Set fifteen minutes.
2. Do every task you've been putting off that takes under two minutes.
3. Move fast. Don't perfect anything.",productivity/chores,medium,home
"Tomorrow, in Three Lines","A plan longer than three lines is a wish list.

1. Write the three things that would make tomorrow good.
2. Put them somewhere you'll see before your phone.
3. Do not write a fourth.",productivity/chores,easy,home
The Filing Spell,"Not the whole system. One folder.

1. Pick a single messy folder — Downloads counts.
2. Sort it into keep, file, delete.
3. Empty the delete pile immediately.",productivity/chores,medium,home
The Hard Message,"It gets heavier every day you carry it unanswered.

1. Open the message you've been avoiding.
2. Reply in under four sentences.
3. Send it before you reread it a third time.",productivity/chores,hard,home
Battery of Errands,"Three errands at once cost less than three errands apart.

1. List every errand you owe the world.
2. Chain the three nearest into one loop.
3. Walk or ride it if you can.",productivity/chores,medium,outdoors
Password Reckoning,"The weakest one is protecting something that matters.

1. Change the password you've reused most.
2. Turn on two-factor for your email, if it isn't already.",productivity/chores,hard,office/desk
The Money Glance,"Not a budget. Just look.

1. Open your accounts and read the actual numbers.
2. Write down one figure that surprised you.
3. Close the app. No decisions required today.",productivity/chores,medium,home
Shred the Ghosts,"Unsubscribing is the only reply that ends a conversation.

1. Search your inbox for 'unsubscribe'.
2. Unsubscribe from ten senders in a row.
3. Do not read a single one of them.",productivity/chores,easy,outdoors
One Automation,"Do it twice by hand, then never again.

1. Name a task you repeat every week.
2. Build the smallest thing that removes one step of it — a template, a shortcut, a saved search.
3. Ugly and working beats elegant and unbuilt.",productivity/chores,hard,outdoors
Surface Clearing,"Clear one surface and the room follows.

1. Choose one flat surface you see every day.
2. Clear it completely.
3. Wipe it. Put back at most three things.",productivity/chores,easy,home
Calendar Truth Pass,"Half of what's booked is no longer true.

1. Read the next two weeks properly.
2. Cancel or move one thing you don't want to do.
3. Block one hour for something you do.",productivity/chores,medium,office/desk
Return the Thing,"It has been sitting by the door, judging you.

1. Find the item you've been meaning to return, send, or give away.
2. Package it now.
3. Get it out of the house today.",productivity/chores,medium,home
Name the Nameless,"Nothing you can't find is really yours.

1. Open your downloads folder.
2. Rename the five most recent useful files properly.
3. Delete everything else from this month.",productivity/chores,easy,office/desk
Ugly First Draft,"Perfectionism is procrastination in a good coat.

1. Set a timer.
2. Write the worst possible version of something you've been circling.
3. Do not edit a single line until the timer ends.",fun activities,medium,home
Twelve Bad Ideas,"Quantity is a shortcut to quality. Nobody likes this fact.

1. Pick a problem you're stuck on.
2. Write twelve solutions. They're allowed to be terrible.
3. Circle the two least sensible ones.",fun activities,easy,home
Steal Like a Thief,"Copy the master's work by hand and you'll find where the seams are.

1. Choose one piece of work you admire.
2. Recreate it as closely as you can.
3. Note the three decisions you'd never have made yourself.",fun activities,medium,outdoors
One Photograph,"Not a roll. One.

1. Leave the building.
2. Take exactly one photograph you'd be willing to print.
3. You may take as long as you like getting it.",fun activities,easy,home
The Hundred-Word Story,"Constraint is the fastest teacher.

1. Write a complete story in exactly one hundred words.
2. Beginning, turn, end. Count them.",fun activities,easy,home
Colour Theft,"Every room you're in is a palette nobody's written down.

1. Look around wherever you are.
2. Pull five colours from what you can see.
3. Save them. Use them in the next thing you make.",fun activities,easy,home
